"고객번호","이용금액14_1","이용금액14_2","이용금액14_3","이용금액14_4","이용금액15_1","이용금액15_2","이용금액15_3","이용금액15_4","고객구분"
"00060",2344527,3958063,2789485,3646981,2624708,4185652,5036207,5613349,"0"
"00061",6353205,4521411,2790322,2373593,2208375,2368813,3677033,2897692,"1"
"00062",1563336,4335440,3648053,2490583,2380743,2257866,2500528,2146357,"0"
"00063",471318,884808,718416,697891,900630,890993,1138388,532795,"0"
"00064",692726,668454,707424,633244,484208,304801,63393,293581,"1"
"00065",1986388,1964592,4388707,897606,4307613,2758274,1436267,2037956,"0"
"00066",3146944,2061912,2025644,2098358,2301854,2435412,2384262,1985913,"1"
"00067",970934,1039208,1398761,1315278,1496249,1450356,1738433,1352148,"0"
"00068",82946691,57076874,34209560,27014476,43582212,15730988,21468529,25407880,"1"
"00069",1620640,1875280,2444526,1674569,1799122,2011869,2543272,1893131,"0"
"00070",4954276,2032203,9398514,3826591,2849259,2334364,2481174,4652351,"1"
"00071",592540,611189,677605,481589,818433,522798,790955,357293,"1"
"00072",1077191,696536,1879916,1035877,1277904,1165884,1360514,1384980,"0"
"00073",30059888,31309106,41905372,22196156,40197831,20741987,28292223,21047804,"1"
"00074",4676228,9449203,7134334,2853017,3343879,1945371,1035023,2117650,"1"
"00075",574819,745610,806868,663897,599516,535330,660399,591297,"1"
"00076",1402806,1587598,1208024,1813935,994767,2093755,1429378,1630289,"0"
"00077",4390550,5321815,4424709,3683834,3932977,4149258,3711405,6513591,"1"
"00078",10194849,6618859,10408045,8638508,12139894,22342571,12661167,10102716,"0"
"00079",2035766,1969221,2481127,1970556,1419543,2272856,2578060,1377097,"0"
"00080",1074638,821170,1305976,1285376,1307122,1742922,1242635,1995817,"0"
"00081",10181378,5462934,9445744,4736069,7422964,12581413,18215749,7992403,"0"
"00082",15496392,9549762,38058835,8287849,13774462,17215608,32330624,23202342,"0"
"00083",5751436,10936282,29377755,8166402,14970288,15366103,31019261,10690900,"0"
"00084",9142998,2892045,3969940,1684837,28323759,11019291,1866251,5368378,"0"
"00085",919833,844952,861681,1783555,1935540,2645037,2792738,2307127,"0"
"00086",2472290,5348958,4389742,5182958,5401694,4374101,5734578,7457707,"0"
"00087",19411055,10349330,679321,4676750,6161932,1783705,5974748,3356022,"1"
"00088",4726476,8764911,6374048,7034079,8097494,4524052,4996636,17428375,"1"
"00089",1152375,3285902,2222545,1509401,2515919,1979103,1624871,1800067,"0"
"00090",2970611,3418314,3824517,21912269,3482457,4499200,8578569,6193307,"0"
"00091",2392850,2493864,2735747,1934289,2881316,2225986,2854026,1786015,"1"
"00092",6032850,5302356,6477695,8076831,5232706,7363091,9389849,8173158,"0"
"00093",12073004,9743870,19513010,9084590,17094599,21780902,14827479,13554082,"0"
"00094",110517,373950,7040625,9454739,4806679,4169401,14679163,28686721,"0"
"00095",998497,1047793,688850,1203944,1047909,808577,1263421,879122,"1"
"00096",4248871,9931437,5912012,2437144,3165448,1635261,3401800,2033221,"1"
"00097",158259128,109811877,167910216,82327609,161594666,153149291,107188398,60438331,"1"
"00098",2355243,2196307,3537680,3099226,3893298,2405131,2571299,2194400,"0"
"00099",20583497,20189876,50217625,32769522,22882621,45329431,27393882,38172514,"0"
"00100",1147856,6166521,5761533,8853123,1752297,1030978,2337804,94924,"1"
"00101",1576848,465825,600698,702236,1057166,683242,1092477,908051,"1"
"00102",39089336,13529126,9942183,16283281,6292102,11488528,7371709,9866767,"1"
"00103",740223,468262,960013,310107,648725,518396,814122,410656,"1"
"00104",1889762,2007031,2425504,2275423,1589018,1889207,2427186,1353932,"1"
"00105",2390044,3131968,4201704,2450011,2776099,1883998,3777719,2311756,"1"
"00106",10193429,10540249,3894803,8671280,3341284,10172235,9137749,12970478,"1"
"00107",8580944,12184448,14997842,19645892,20102716,18408499,9136443,28706853,"0"
"00108",2184458,1293206,1654121,1549224,1225682,2474507,2291808,2222654,"0"
"00109",2034748,1261798,1503094,1026374,709037,775222,948878,705849,"1"
"00110",2377496,3352610,6158772,3786694,3522435,3023654,3429515,1707799,"0"
"00111",656026,450149,1006549,437165,686714,786113,649730,604105,"0"
"00112",13863747,5470568,7942228,6524223,9402275,9552308,18727249,28191306,"1"
"00113",11921970,12215403,9638207,18640457,11636719,13905532,7363553,8740843,"0"
"00114",1817495,4589004,4980692,2716699,2833713,4231226,1403131,1635970,"0"
"00115",2290733,9032363,9249438,8494889,15145765,10356093,3328343,10168176,"0"
"00116",1029503,1278368,1132776,727189,956534,1292783,783858,1015195,"0"
"00117",6730071,1505934,13779993,5924155,3746528,4895721,3721490,5038575,"1"
"00118",8502702,9031638,10898427,23366916,13196397,12167442,13046013,12843137,"0"
"00119",3812190,15129381,5932249,9448893,12984996,8839017,9017921,2314341,"0"
"00120",34863844,44455778,27036069,25945794,27979468,25581285,31582881,28496106,"1"
"00121",2955279,1656640,864314,2164109,4693293,1399202,2521936,3651111,"1"
"00122",3360127,3987155,3892403,2950887,6968946,8252751,6778642,4789076,"0"
"00123",1723382,929215,1570700,1147053,1591972,1408730,1345347,1075188,"1"
"00124",7629966,3428452,3995555,3532324,1910274,9074952,1832826,7669341,"0"
"00125",3370863,1933214,1929375,1210201,1729801,2841117,643736,2079387,"1"
"00126",4267693,934257,1205111,9480283,9760140,5066999,2759386,5816274,"0"
"00127",941581,921986,1462927,376852,1256990,472494,710389,1072900,"1"
"00128",1283554,1028956,2889253,758019,476767,1121203,1420725,182558,"1"
"00129",600817,1083337,838934,818789,786726,940005,1331482,857582,"0"
"00130",9807582,8741948,6542237,5512615,6770109,4742247,1850776,2420340,"1"
"00131",3169743,6337589,5751878,1973855,3494849,4895296,5075061,2883884,"0"
"00132",1566649,1312690,1647053,1951380,2584994,1466243,457047,1084284,"1"
"00133",2155447,2238493,3568317,1771357,3645214,3114975,3673969,4545504,"0"
"00134",16294281,9236997,8196264,7070356,14923849,19879366,15870248,14609553,"0"
"00135",611361,4369926,2846949,883735,912437,1314746,2023135,455173,"0"
"00136",158404,3247773,5331801,3652909,714556,3442860,1353675,11636644,"0"
"00137",10599397,10986066,8280686,8287433,13696820,9948796,18794251,30965949,"1"
"00138",5755488,4914867,5488689,8367120,6250184,7256488,3294613,6480724,"0"
"00139",4869567,7151902,9772591,9963338,2620019,3761161,5994062,4530785,"1"
"00140",51031916,20160311,40706241,29977189,21499997,24626720,54186347,12836823,"1"
"00141",661026,688305,607352,496657,631804,822863,1220038,705163,"0"
"00143",770603,735283,927349,722136,763663,1348892,1248477,903672,"0"
"00144",9825578,14069398,17156471,9349826,9713335,2128230,8842098,974128,"1"
"00145",5736783,8014478,23404517,35397628,7622927,12634623,27234471,17462717,"0"
"00146",16593856,12998837,9244173,12096399,19646872,12020451,6678739,11655278,"1"
"00147",14065046,10963388,8939513,15244636,19332258,10647959,6143321,11095317,"1"
"00148",581431,487585,868225,619045,709789,931176,754644,737493,"0"
"00149",2621629,2200862,5698116,3815962,2153424,5092755,1776807,4069644,"0"
"00150",3307816,7343716,2279332,3219618,1904553,4368212,1536468,559254,"0"
"00151",7693967,26371853,8948799,6206611,4244038,6698486,15216097,8777780,"1"
"00152",5114907,2997529,3896499,2772295,4781085,5668201,5021497,3130178,"0"
"00153",1280342,779649,964352,3453729,997255,1462963,881873,773049,"0"
"00154",27267646,8956453,2059606,1394873,1118637,1858579,22563985,8923838,"1"
"00155",5002111,6477110,12264189,4879501,6768604,5679740,11002084,4939705,"0"
"00156",16397062,11624192,16038158,11414196,36928263,30959305,9360695,18374236,"0"
"00157",1636840,1273248,2163207,1375789,1387130,1479500,2353487,2447608,"1"
"00158",875311,879872,1695629,1577791,1038907,2565130,1300800,1778105,"0"
"00159",8600999,15710050,7955013,17025546,31185130,21227622,6925162,31558839,"0"
"00160",2910947,2473901,2301655,1742862,3081156,3462260,2406351,2328749,"0"
"00161",49350600,8076953,13026011,37041686,17950447,15227182,9050934,18766118,"1"
"00162",4202457,10232675,5971708,12873789,14093611,8827557,6284786,6752288,"0"
"00163",1344307,1821819,1503350,1096716,1319407,1258784,2272107,1040219,"1"
"00164",34878554,8326756,6940475,9238119,8483652,14008698,24449669,6274533,"1"
"00165",1415232,6139838,6321547,6800174,7977302,1301275,1807551,8027033,"1"
"00166",2929151,5726248,3831246,5332471,3304703,3510781,4309892,5077127,"0"
"00167",4929288,3655752,2358044,13331358,3695500,4286705,7750781,3048156,"1"
"00168",7825663,12316574,9098922,10401857,6175326,17794658,7327856,13454126,"0"
"00169",1920670,833387,639123,114893,827467,1046507,2249543,1025382,"1"
"00170",1247427,1993250,2289679,1104716,1583082,1951804,2390627,2007604,"0"
"00171",2097590,1724905,4205084,6506754,1462205,3689583,6083827,2406169,"0"
"00172",2278408,3904442,2777028,2432657,2632609,2838783,3949271,2015285,"0"
"00173",1207028,1404717,2075348,1110764,1074443,2700730,1287283,1319517,"0"
"00175",3825934,3431197,4361178,2800082,5079665,5690125,5771783,4420597,"0"
"00176",966916,928988,1669875,826839,930134,1340411,870449,703959,"0"
"00177",11403967,18585792,7129482,11484325,13991865,8985556,7893666,13684345,"1"
"00178",3142331,1864611,1872513,3322416,2555722,2175621,2795819,2417927,"1"
"00179",7117925,5034896,6384009,4863866,8530776,6698344,5702317,5626993,"1"
"00180",4541556,5816690,3236181,5948689,14183616,6538089,4500934,8103835,"0"
"00181",6187350,3974711,4157160,11838821,5551199,10908030,10750392,12900400,"0"
"00182",6262632,9402981,12412133,9501617,8699449,14349262,13924365,8480308,"0"
"00183",1902944,1551874,1966326,1694661,2207615,1641036,1265249,1290357,"1"
"00184",6177458,13916604,2988494,5595345,1156215,3191490,936325,3522395,"1"
"00185",22181,950238,1898619,1906696,2154887,2067619,1718491,296228,"0"
"00186",23223195,12359490,6928145,6748666,11154122,8761640,6320150,3813032,"1"
"00187",6956429,2029295,1455736,1665464,1610611,2074456,3029902,1859798,"1"
"00188",1913712,1463056,2467855,1300871,2176885,1663055,2424455,2122044,"1"
"00189",6242550,7581737,31616729,15774837,13421421,8834208,8911223,7970330,"0"
"00190",7478136,4439684,3813162,4189274,9736118,8720750,2722031,8136149,"0"
"00191",13161866,10765076,8337235,11012501,7523894,5952944,19154276,12649445,"1"
"00192",938700,5377727,4574069,9231455,2090387,4079066,6799096,7880803,"0"
"00193",1102110,1475995,1403046,1080093,1012884,1490928,1495484,1354975,"0"
"00194",1854153,2078170,2099206,1610057,1737377,2119989,2123787,1616092,"0"
"00195",886152,534159,807180,665107,753156,1145064,1528725,841533,"0"
"00196",3135941,5901245,3222992,4160589,4023185,3240239,3570459,3884583,"0"
"00197",4042979,4711148,2902808,12245038,6097587,27903522,27657051,11891164,"0"
"00198",970533,2684582,1630503,1488531,1151542,2236573,2398219,1813067,"0"
"00199",937855,2764293,2318012,3035981,2836312,2498764,2256031,1946252,"0"
"00200",1760444,1762859,2112892,1846062,1361018,2071846,510548,1191475,"0"
"00201",15740329,15731654,19345971,23454902,8945221,8371903,16717066,13953621,"1"
"00202",7830839,10361878,11545133,12273431,12285491,9763556,14350225,22313854,"0"
"00203",927514,882190,1009490,744317,935235,923870,956772,486274,"1"
"00204",3419406,3103388,3246344,2991142,2158109,2479947,3529219,3359428,"1"
"00205",5124232,3451773,3391218,3576238,3554806,1702096,2322911,2074293,"1"
"00206",1968564,1423979,2705289,1697904,2495355,1454465,2258996,2540412,"1"
"00207",917886,737980,1235502,1085470,890909,1223834,1171286,825316,"0"
"00208",10693376,16846715,16453755,14733980,9561677,1315829,702808,128161,"1"
"00209",3782829,1679858,2396160,2842676,831787,3737997,1990426,806895,"1"
"00210",495943,692646,848845,835159,679068,920517,942023,783208,"0"
"00211",1725233,852406,3018628,1076638,4336443,2192074,5033964,3667179,"0"
"00212",2727154,2516544,2602235,3049512,1639453,4389155,2246216,1437559,"0"
"00213",5251308,4146830,3331348,5717389,5030147,8245080,8946337,7072289,"0"
"00214",2226876,3081624,2211390,1173883,1756419,4597683,2585365,3423883,"0"
"00215",1298524,1634191,1685524,1440278,1886398,2177535,2577292,1700687,"0"
"00216",1703748,1445439,1699648,1363325,1647526,1481087,1520858,944426,"1"
"00217",1590256,1356822,1306189,1193974,830864,2732708,1532963,3630114,"0"
"00218",9785361,27560247,36650615,30192861,10770372,21402575,35336332,39189431,"0"
"00219",6351041,6451418,3380615,9844329,4697079,8014760,5458338,5780259,"0"
"00220",2253222,2198453,1973046,2331414,1818025,3206392,3422075,2203679,"0"
"00221",1218092,1049919,1402958,1688689,1658129,1114372,1388737,1158391,"1"
"00222",10246413,6740311,9338459,7057544,14648565,6476948,17598791,5640729,"1"
"00223",4320892,5576820,3045951,23969518,11761920,51948302,26617912,8576477,"0"
"00224",32074608,10594933,34633935,12435327,27859787,15742156,12116699,32458168,"1"
"00225",17768637,17230104,15609918,20470738,25942182,31425125,11265269,26826565,"0"
"00449",2863052,4149721,7106702,10456795,2654091,10041514,7538848,27216170,"0"
"00450",8780398,21543103,15371501,12675308,13591068,10443341,7381767,47579234,"0"
"00451",3344643,3742699,4542743,3031748,1837804,4304699,3204171,2656697,"0"
"00452",342127,713868,2722536,2085391,1872879,2693073,3067365,2099090,"0"
"00453",2275864,25619659,4169621,5680477,3471007,3609859,7262859,8805231,"0"
"00454",1694922,1332214,2026666,1823633,1866917,1679760,2827479,1575511,"1"
"00455",37408102,13469972,12214780,15452500,9497352,18265221,14195350,9243142,"1"
"00456",2524018,2568802,2547204,4238503,2937350,3912497,22015594,23443426,"0"
"00457",25867450,20342578,15389645,23854706,19370551,21675917,14636027,12440617,"1"
"00458",1434730,1234990,1286363,1433284,1436226,1549727,2129046,1286209,"0"
"00459",3653740,3314536,5980139,3252852,3070631,4206791,3612792,3263242,"0"
"00461",618050,1302526,1667228,922392,591919,1790591,1496547,1219183,"0"
"00462",8386561,6909820,11290592,15075249,4946334,11554365,8234916,4667430,"0"
"00463",7628805,5878252,10243519,8676818,5413145,4284580,8842795,9286464,"1"
"00464",2844717,2977053,2967903,1331943,2136003,3946940,2621208,1917334,"0"
"00465",2869346,3517449,1509911,2457491,3389139,2125916,2685902,2878703,"1"
"00466",11026869,24570594,52284242,17772374,18008379,26077360,28336122,20824437,"0"
"00467",4627032,2865219,1673786,1999164,2425439,1741915,3331432,1961901,"1"
"00468",6669801,8307704,7224223,4914298,6861030,8170640,5957666,6090882,"0"
"00469",2207125,7971925,4451184,3732014,872943,3106544,1910610,1334619,"0"
"00470",1013020,1449259,1142608,743967,636595,967500,1391279,1046856,"1"
"00471",2684743,19459790,15306966,13061041,24934200,15821150,13339883,30391218,"0"
"00472",1038111,642139,649708,849042,1091924,1149854,1439085,1788889,"0"
"00473",2000323,1354777,1417457,1689535,1583295,1413929,1931941,1742267,"1"
"00474",15628622,11100613,8913582,17443119,9894064,11513956,12566272,18737152,"1"
"00475",7404823,3450924,3193293,2251029,2663706,2717807,3543220,2921280,"1"
"00476",1554658,1437865,1711198,1759443,1690316,2378129,2241290,1002558,"0"
"00477",7469377,13177111,91730649,13713111,12894878,42150280,10812587,18772115,"0"
"00478",26636030,29516502,13337562,54410168,52862215,29158616,19208757,17014577,"0"
"00479",765836,2629841,1210974,678574,1332775,1142629,1679450,710452,"0"
"00480",13738113,11711446,9246697,14231709,11419286,14710116,16968769,14090663,"0"
"00481",9000275,8563047,16940825,7360679,7024525,8440652,7276518,6433967,"1"
"00482",686211,983544,958352,1337840,1043977,1287246,2114993,2100457,"0"
"00483",987495,1310436,700087,616129,1487410,818581,732968,1456862,"1"
"00484",6684197,4333096,4662201,4950673,2719954,4894795,7274029,6166269,"1"
"00485",13817495,11263958,12038260,18366959,20708207,15528711,21695497,7895001,"0"
"00486",13464872,21383780,15640857,21866913,18722833,17516896,5868841,24202814,"0"
"00487",1020347,1413104,1814024,1077343,1376707,2008395,2184219,1383900,"0"
"00488",1393823,1570789,2163062,1583896,1376060,1733736,1624426,1373958,"0"
"00489",10589803,6338565,4470467,12318536,7732310,8292889,9660284,5662894,"1"
"00490",2573361,3333207,2678873,2833310,3240620,4809668,3758643,5219273,"0"
"00491",1840351,2430301,2260391,2025847,982254,1412873,2217442,2038388,"1"
"00492",5608713,10272827,16053390,6457416,6268915,2311592,5916771,16875724,"1"
"00493",1522912,1385632,1480155,2313539,2146820,1859445,1724546,1490754,"0"
"00494",3748451,8235697,2997267,4140085,2487803,5534028,5437237,20179505,"0"
"00495",1336650,525828,725363,455974,822739,1098116,678311,901841,"1"
"00496",3502818,1330395,3814298,1277476,2493360,3908669,2213060,2478640,"0"
"00497",1565490,1457831,1642515,1114943,1945101,1877594,1642546,1441187,"0"
"00498",1775557,614061,2304609,809519,2059684,1780130,2027564,728262,"0"
"00499",1297299,567924,303780,519150,1206787,980568,1282059,781487,"1"
"00500",2602395,2450331,2716095,1358176,2776131,2727274,2549099,1429300,"0"
"00501",8693777,16388026,8024088,44933193,13582988,13142284,13677730,11653681,"0"
"00502",10934512,6042309,5779607,7687078,10060633,9752839,5492042,4159966,"1"
"00503",7172814,8853807,6566801,14170916,19573734,17257487,10263806,10265765,"0"
"00504",14040160,15579031,12940061,8672403,13363661,12746015,7614242,17420116,"1"
"00505",55061385,35909112,13378507,36114125,19751550,14569286,33117125,44415622,"1"
"00506",3687867,4086166,1104237,3226549,10444876,2729170,3449562,3324139,"1"
"00507",4383057,5838202,4550956,3990175,3562071,3281079,4500255,4937465,"1"
"00508",36113601,10865367,17464092,35992865,28057435,9052299,12199939,15651629,"1"
"00509",5313833,5648918,10323539,5649210,5479607,5234995,4317670,4989328,"1"
"00510",10802358,21899197,8723065,8237063,9434541,5685668,8547491,6333301,"1"
"00511",1016290,1205439,1387466,1218204,1021382,1302219,1025314,732730,"0"
"00512",928134,721460,977724,645352,1436346,1106090,1231035,1107085,"0"
"00513",4903856,6151080,3568694,16326545,3535543,4612351,19912540,29939943,"1"
"00514",1816814,1412954,1677486,1787014,1728308,1641589,5728230,1388204,"1"
"00515",6507482,13299145,4474103,10805379,6209094,12093220,6208299,5001747,"0"
"00516",1355048,1445409,1261491,933655,1682685,1066948,1283793,1314228,"1"
"00517",3427958,5446358,2159482,13955544,8968076,7152249,5779674,2779207,"0"
"00518",29413999,21836936,24378523,9698813,8752372,9753988,10903063,17054795,"1"
"00519",575862,1966830,144609,7916170,8865080,5497706,5689624,10893657,"0"
"00520",14499759,10479515,6508349,7131579,4571510,4086210,3791290,7889054,"1"
"00521",28023009,21366720,15455405,10872812,29671617,12640624,25452156,24782182,"1"
"00522",1351505,2751172,3145172,4166609,6753819,4745065,1917951,1557608,"0"
"00523",2591853,2597077,2527082,1017476,2410695,2259572,2505041,1685987,"1"
"00524",2099289,2833393,2337157,1701772,2774577,2050096,1614393,715567,"1"
"00525",8481492,3671153,3932752,4865060,3965081,4061264,3484823,10897868,"1"
"00526",12949533,9911041,9272365,4676466,2174892,5639642,9744204,3714490,"1"
"00527",331603,3454607,968390,1138034,745092,909633,965453,432816,"0"
"00528",433147,455665,631919,437046,576916,703020,658111,520172,"0"
"00529",61147915,50657000,41683821,9746171,26438036,21949205,14406060,3359546,"1"
"00530",1476779,2545974,2016735,3136988,1281692,2516749,1840747,3657099,"0"
"00531",939124,4933057,7266049,5420579,2721113,6648419,3711490,4451363,"0"
"00532",8204804,8632099,10707536,6917505,5920321,19449747,9582468,16420787,"0"
"00533",1422096,1029753,1526347,1244694,1300899,1340087,1482023,1447034,"1"
"00534",1989068,1751813,3394259,3278397,2096265,1541314,4663460,2282206,"1"
"00535",18658786,15692404,10252822,14398406,7483577,28462647,28573219,26834881,"0"
"00536",980942,735604,959678,502375,885188,699129,1257133,545828,"1"
"00537",756258,986580,985025,819742,1366276,1151288,1351533,749039,"0"
"00538",2936675,4970655,13896917,10199940,5955742,4482091,7824139,5687374,"0"
"00539",4964512,7347109,3470928,4441102,3070754,3240729,5284031,5364435,"1"
"00540",1200747,2749208,1373083,1509345,1263839,1153957,2269443,1345235,"1"
"00541",1601712,1533794,2463455,1952814,1900717,1924557,3174884,1659920,"0"
"00542",496708,1844848,3383120,3523683,1335886,2347620,1452012,1171890,"0"
"00543",3385132,2987364,1881264,2754728,2378036,3387764,2282945,3996949,"0"
"00544",16654670,14307025,7941985,8421372,6892789,11790338,4944567,10191440,"1"
"00545",5813031,3687371,8361892,4566949,2798807,3074860,14723062,13905119,"1"
"00546",31903426,16260355,7778253,5302377,32015216,23947240,35038678,5111051,"1"
"00547",20705827,41038656,19848517,12587607,10375102,12676445,15544943,7128932,"1"
"00548",6226967,2465691,6462866,3304400,10029676,4196918,4553357,7159972,"1"
"00549",7923822,6105368,3091737,6415438,6585494,4341406,4093422,6755785,"1"
"00550",804201,913709,3069389,3151570,11962820,4127343,10375488,9194065,"0"
"00551",1089344,1758223,1549640,1790815,2706755,1607776,2610662,1509792,"0"
"00552",1808522,3829544,3232025,2252250,1641785,1874736,2635056,3309614,"0"
"00553",3143093,6208574,6443616,11489511,8271574,4816414,2702936,9723497,"0"
"00554",8172324,17654754,11684584,12177673,23521347,11739581,7264586,12920781,"0"
"00555",2368242,2089865,1528665,2898911,3659940,3189595,3527614,1438473,"0"
"00556",2437666,2862262,1742562,1995330,1975756,1537907,1444823,1067479,"1"
"00557",1973002,2530565,1394805,1764121,1878856,1781574,1408582,1178116,"1"
"00558",1411506,2823810,569101,1999935,1489625,2995784,1541059,1329513,"0"
"00559",15566050,9963250,11150853,33169225,9626520,8180770,5617434,20216700,"1"
"00560",10105325,10651590,13396303,7820752,10062299,19517979,15828989,15718051,"0"
"00226",1348773,1805435,1044902,1258268,961625,2284255,1477248,1006114,"0"
"00227",672240,725226,909380,1247157,688736,512583,724289,439225,"1"
"00228",1525452,997923,1393969,887166,1720243,1440912,2827994,2080584,"1"
"00229",7468364,12309374,5348929,8234576,9970600,10228581,16682436,4264261,"0"
"00230",2172471,1864012,1187536,1181039,2096132,2666070,2057666,1225550,"0"
"00231",1229621,1664642,2547571,1210450,1064271,1111342,1123064,787435,"1"
"00232",765776,1784229,1527827,1154148,1250373,1089792,1564493,863748,"0"
"00233",1587006,1193172,5597343,1349503,1499348,5225442,2568360,2188871,"0"
"00234",1889684,2661926,2614251,2942709,3881403,3928734,13473278,2551244,"0"
"00235",5473916,4198568,8805149,2949935,5793201,8627498,4127107,2644483,"0"
"00236",1242186,1267538,531643,738555,677000,937744,1650789,1771106,"1"
"00237",7514431,5840392,8368881,5565383,10661062,5124567,9476504,13883220,"1"
"00238",620151,2521141,2186574,4750086,1204663,2531947,1644227,808844,"0"
"00239",25107174,25791498,11472498,16668041,14365854,26652588,16369294,21690884,"0"
"00240",3000950,7560031,2027449,1581456,470267,1086195,2453763,2625938,"1"
"00241",7325335,2736291,8399433,9831368,12955647,12572481,7385184,8593577,"0"
"00242",677216,998656,890856,1437152,1430074,1473015,1863620,1073896,"0"
"00243",717746,751359,620521,901968,919418,870665,1626349,1312209,"0"
"00245",2663600,2879679,3730077,5248328,3385702,2743157,3683784,2582839,"0"
"00246",3685968,4811732,19491902,7810096,8934222,8914091,12533491,7513216,"0"
"00247",3297977,2905279,4097586,3707683,3759526,2208226,2692575,1607096,"1"
